"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 18 20:48:45 CET 2024","Mon Mar 18 20:48:49 CET 2024","3959","tests","test_eco_friendly","","","","Test sort by price",""
"passed","Mon Mar 18 20:49:16 CET 2024","Mon Mar 18 20:49:19 CET 2024","3502","tests","test_sale_page","","","","Test redirect to page ""men bargains""",""
"passed","Mon Mar 18 20:49:09 CET 2024","Mon Mar 18 20:49:12 CET 2024","3674","tests","test_sale_page","","","","Test redirect to page ""show women details""",""
"passed","Mon Mar 18 20:48:40 CET 2024","Mon Mar 18 20:48:44 CET 2024","3827","tests","test_create_new_account","","","","Test create account with empty all fields",""
"passed","Mon Mar 18 20:48:33 CET 2024","Mon Mar 18 20:48:37 CET 2024","4067","tests","test_create_new_account","","","","Test create create account with old account",""
"passed","Mon Mar 18 20:49:00 CET 2024","Mon Mar 18 20:49:05 CET 2024","5939","tests","test_eco_friendly","","","","Test add to cart without options",""
"passed","Mon Mar 18 20:48:52 CET 2024","Mon Mar 18 20:48:56 CET 2024","4214","tests","test_eco_friendly","","","","Test sort by name",""
"passed","Mon Mar 18 20:48:18 CET 2024","Mon Mar 18 20:48:25 CET 2024","6685","tests","test_create_new_account","","","","Test create new account with all correct fields",""
"passed","Mon Mar 18 20:49:22 CET 2024","Mon Mar 18 20:49:26 CET 2024","3929","tests","test_sale_page","","","","Test luma great steal""",""
